first_name,middle_initial,last_name,age,gender,zip,education,2017_gross_income_usd,employment_status
Maria,S,Fernandez,91,F,10079,college,101416,retired
John,H,Xing,79,M,10120,high school,159143,retired
Juan,E,Mellis,97,M,10023,high school,231379,retired
Maria,N,Fernandez,48,F,10167,some college,225700,other
Juan,Z,Stevens,51,M,10143,some college,110289,restaurant and hospitality
John,W,Xing,76,M,10144,college,92603,retired
Mary,N,Suarez,72,F,10132,high school,201347,retired
Maria,Z,Alberts,25,F,10167,postgrad,233115,other services
Mary,U,Fernandez,39,F,10162,college,140204,transportation
Alice,V,Xing,89,F,10189,college,170916,retired
Alice,E,Stevens,32,F,10055,high school,221764,industrial
Susie,K,Mellis,64,F,10106,below high school,133857,transportation
Susie,R,Kim,63,F,10177,college,150289,cleaning
Michael,V,Kim,41,M,10054,high school,164803,engineering
Susie,C,Fernandez,90,F,10079,college,172201,retired
John,Q,Mellis,22,M,10160,high school,242920,other services
Abel,J,Mellis,69,M,10077,postgrad,158919,retired
Michael,M,Fernandez,53,M,10077,college,116677,unemployed
Mary,E,Kim,56,F,10069,college,79583,other services
Abel,B,Fernandez,55,M,10003,postgrad,137540,food preparation
Alice,X,Xing,58,F,10092,college,63292,other
Hong,H,Kim,80,F,10043,postgrad,94921,retired
Xiaohan,X,Michaels,68,M,10120,high school,126615,retired
Susie,B,Alberts,92,F,10033,below high school,136460,retired
Susie,O,Kim,43,F,10199,high school,205754,engineering
Alice,E,Fernandez,88,F,10088,postgrad,239228,retired
Mark,C,Xing,63,M,10017,postgrad,230231,other
Natalia,G,Alberts,84,F,10072,below high school,204774,retired
Natalia,J,Kim,44,F,10004,college,239253,other services
Susie,Z,Kim,68,F,10121,college,182925,retired
Xiaohan,Q,Roberts,42,M,10015,some college,71422,food preparation
Hong,N,Michaels,23,F,10141,high school,233040,food preparation
Hong,Y,Michaels,97,F,10160,college,69560,retired
Mary,T,Kim,95,F,10043,postgrad,203470,retired
Michael,I,Mellis,41,M,10086,high school,108735,other
Mark,V,Roberts,62,M,10034,college,158486,other
Hong,S,Roberts,64,F,10176,high school,197376,other services
Abel,S,Roberts,47,M,10019,college,60301,unemployed
Abel,Q,Fernandez,95,M,10167,college,169611,retired
Natalia,N,Suarez,73,F,10086,postgrad,187469,retired
Mark,S,Roberts,91,M,10045,high school,236934,retired
John,V,Mellis,78,M,10048,college,156042,retired
John,U,Roberts,45,M,10007,some college,107361,unemployed
Mary,Q,Stevens,80,F,10151,some college,153347,retired
Juan,N,Michaels,94,M,10049,below high school,79134,retired
Maria,F,Fernandez,62,F,10091,college,78710,food preparation
Xiaohan,Q,Xing,33,M,10129,below high school,149639,transportation
Mark,V,Xing,31,M,10185,some college,124095,education
Abel,Z,Roberts,74,M,10156,below high school,80460,retired
John,J,Mellis,27,M,10083,postgrad,60884,unemployed
John,V,Michaels,38,M,10026,college,132679,industrial
Xiaohan,A,Michaels,69,M,10122,postgrad,162955,retired
Susie,Z,Mellis,80,F,10062,some college,93421,retired
Hong,D,Roberts,79,F,10184,postgrad,83459,retired
Mary,W,Roberts,85,F,10040,some college,230160,retired
Michael,H,Xing,52,M,10027,high school,221031,fitness/sports
John,B,Xing,60,M,10059,below high school,107599,transportation
Mary,O,Alberts,57,F,10072,postgrad,175304,management
Mary,W,Suarez,51,F,10084,college,157067,restaurant and hospitality
Mark,X,Mellis,83,M,10183,below high school,220177,retired
Abel,I,Stevens,89,M,10021,below high school,160884,retired
Abel,G,Stevens,70,M,10166,college,129211,retired
John,N,Alberts,47,M,10019,postgrad,181454,unemployed
Mary,L,Suarez,26,F,10080,below high school,156548,other services
Abel,E,Stevens,41,M,10077,some college,99242,food preparation
Mary,R,Michaels,55,F,10007,postgrad,51243,restaurant and hospitality
John,V,Roberts,27,M,10198,college,126060,restaurant and hospitality
Juan,H,Fernandez,80,M,10053,below high school,126811,retired
John,O,Kim,27,M,10061,postgrad,172494,other services
John,L,Kim,92,M,10041,some college,230158,retired
John,N,Roberts,75,M,10009,below high school,80899,retired
Mary,B,Stevens,22,F,10097,postgrad,178438,food preparation
Maria,O,Mellis,47,F,10190,some college,158146,fitness/sports
Mary,S,Michaels,52,F,10114,college,160730,other services
Susie,D,Suarez,91,F,10052,some college,170269,retired
Maria,B,Xing,44,F,10020,some college,105923,restaurant and hospitality
Mary,U,Kim,22,F,10138,college,152548,fitness/sports
Juan,G,Fernandez,77,M,10054,college,114567,retired
Alice,D,Alberts,49,F,10196,college,117654,accounting
Natalia,O,Alberts,30,F,10004,high school,85260,food preparation
Alice,Z,Mellis,56,F,10097,college,66014,transportation
Abel,Y,Stevens,73,M,10103,some college,215304,retired
Susie,G,Kim,81,F,10197,below high school,162176,retired
Susie,J,Mellis,58,F,10020,college,54892,transportation
Natalia,I,Fernandez,36,F,10076,college,236406,other services
Hong,H,Alberts,57,F,10116,high school,106321,restaurant and hospitality
Michael,R,Kim,33,M,10157,some college,159834,management
Abel,L,Xing,55,M,10193,postgrad,149213,transportation
Hong,O,Roberts,23,F,10187,below high school,153495,education
Susie,O,Stevens,26,F,10120,postgrad,173839,transportation
Mark,M,Suarez,52,M,10001,postgrad,137697,fitness/sports
Hong,Y,Fernandez,58,F,10133,some college,174398,food preparation
Susie,F,Stevens,95,F,10163,college,110115,retired
Mark,L,Xing,80,M,10008,college,232009,retired
Michael,C,Alberts,70,M,10103,some college,119995,retired
Mark,A,Stevens,77,M,10025,high school,198799,retired
Susie,T,Mellis,77,F,10200,some college,113084,retired
Mark,U,Roberts,34,M,10134,postgrad,223792,other services
Susie,I,Kim,33,F,10166,college,161730,management
Maria,A,Alberts,76,F,10138,below high school,86191,retired
Maria,G,Fernandez,61,F,10013,some college,160648,industrial
Mary,Z,Stevens,93,F,10097,some college,62595,retired
Abel,M,Stevens,88,M,10033,college,126564,retired
Susie,Q,Xing,40,F,10173,postgrad,190690,other
Xiaohan,E,Alberts,55,M,10051,some college,93806,unemployed
Michael,L,Michaels,56,M,10040,college,241700,accounting
Abel,R,Kim,41,M,10039,high school,141236,management
Abel,Q,Kim,71,M,10021,some college,189929,retired
Alice,K,Kim,63,F,10193,postgrad,171802,transportation
Susie,M,Suarez,52,F,10110,postgrad,69445,other services
Mark,P,Michaels,74,M,10034,below high school,160399,retired
John,K,Roberts,43,M,10022,postgrad,55944,unemployed
Natalia,P,Mellis,53,F,10021,postgrad,71664,industrial
Susie,B,Kim,53,F,10074,some college,127382,other services
Natalia,Z,Stevens,43,F,10034,below high school,73392,other services
Xiaohan,W,Roberts,34,M,10189,high school,125240,accounting
Alice,I,Xing,63,F,10002,college,120681,management
Michael,H,Roberts,35,M,10180,college,66198,unemployed
Mark,G,Kim,71,M,10032,college,144206,retired
Xiaohan,J,Roberts,62,M,10177,some college,140263,unemployed
Alice,A,Stevens,64,F,10093,postgrad,111620,education
Xiaohan,M,Alberts,38,M,10108,college,71301,industrial
Michael,V,Roberts,61,M,10198,some college,134906,accounting
Hong,G,Kim,46,F,10171,below high school,170877,management
Mark,C,Stevens,97,M,10026,postgrad,124107,retired
Maria,R,Fernandez,95,F,10161,high school,81630,retired
Natalia,U,Michaels,73,F,10151,high school,135798,retired
Abel,L,Alberts,57,M,10185,college,145696,fitness/sports
Michael,P,Kim,39,M,10007,high school,74109,other
Hong,X,Michaels,22,F,10043,high school,125740,management
Mark,J,Mellis,32,M,10017,high school,141404,cleaning
Juan,J,Michaels,55,M,10106,below high school,203537,food preparation
Michael,U,Suarez,84,M,10080,postgrad,244094,retired
Mark,V,Fernandez,50,M,10163,some college,125717,industrial
Juan,F,Stevens,90,M,10113,some college,179685,retired
Abel,W,Xing,91,M,10026,some college,84431,retired
Juan,W,Kim,90,M,10097,college,120353,retired
Susie,H,Alberts,65,F,10118,some college,136129,unemployed
Mark,P,Michaels,81,M,10151,below high school,228048,retired
Alice,W,Roberts,44,F,10197,some college,217929,other
Hong,W,Roberts,46,F,10110,college,218099,education
Susie,B,Xing,90,F,10039,postgrad,129303,retired
Maria,N,Stevens,26,F,10184,high school,62658,education
Natalia,Y,Suarez,30,F,10189,postgrad,95394,other
John,C,Stevens,64,M,10172,college,224251,education
Maria,S,Roberts,92,F,10152,college,182091,retired
Maria,R,Michaels,89,F,10054,some college,156291,retired
Maria,J,Alberts,64,F,10024,below high school,59679,fitness/sports
Alice,I,Roberts,70,F,10129,postgrad,105986,retired
Xiaohan,C,Kim,95,M,10023,below high school,204646,retired
Mark,Z,Alberts,79,M,10007,high school,75002,retired
Xiaohan,N,Michaels,53,M,10093,below high school,183634,transportation
Juan,G,Fernandez,49,M,10154,postgrad,101872,transportation
Abel,G,Xing,39,M,10061,high school,96300,other services
Abel,I,Xing,39,M,10142,postgrad,213475,other services
Susie,W,Fernandez,42,F,10095,some college,177171,accounting
Hong,J,Roberts,86,F,10189,some college,160495,retired
Xiaohan,R,Kim,33,M,10075,some college,158767,management
Hong,P,Stevens,43,F,10190,postgrad,90047,restaurant and hospitality
Alice,T,Kim,47,F,10077,postgrad,129247,transportation
Michael,R,Stevens,30,M,10111,below high school,119372,transportation
Xiaohan,J,Roberts,23,M,10033,some college,52145,restaurant and hospitality
Mary,U,Stevens,30,F,10055,postgrad,166312,education
Abel,G,Fernandez,44,M,10045,high school,149310,restaurant and hospitality
Mark,S,Michaels,81,M,10142,postgrad,75007,retired
Susie,M,Xing,34,F,10098,some college,150385,accounting
Natalia,X,Mellis,95,F,10163,some college,162930,retired
Juan,N,Alberts,91,M,10051,college,228968,retired
Mary,H,Fernandez,36,F,10149,postgrad,167189,engineering
Xiaohan,H,Kim,28,M,10051,postgrad,180138,fitness/sports
Hong,T,Alberts,42,F,10101,high school,179230,unemployed
Natalia,H,Xing,93,F,10094,below high school,124183,retired
Alice,Q,Roberts,71,F,10066,college,72190,retired
Maria,T,Mellis,97,F,10124,some college,106370,retired
Natalia,J,Stevens,78,F,10114,high school,192658,retired
Xiaohan,X,Roberts,97,M,10033,high school,129903,retired
John,I,Fernandez,96,M,10189,college,216807,retired
Hong,G,Suarez,25,F,10024,high school,112911,unemployed
Mary,E,Suarez,86,F,10045,some college,237441,retired
Mary,F,Xing,27,F,10172,college,170498,restaurant and hospitality
Mark,J,Xing,61,M,10020,postgrad,101159,unemployed
Hong,U,Suarez,56,F,10021,below high school,47211,transportation
Alice,A,Mellis,59,F,10158,college,135594,transportation
Natalia,A,Roberts,83,F,10150,some college,169484,retired
Abel,W,Michaels,81,M,10156,below high school,214136,retired
Susie,Y,Stevens,75,F,10130,below high school,218742,retired
Xiaohan,Q,Roberts,57,M,10011,postgrad,150688,cleaning
Mary,Z,Suarez,69,F,10098,high school,70477,retired
John,Z,Roberts,55,M,10133,some college,140897,food preparation
Abel,M,Alberts,30,M,10169,postgrad,114381,accounting
Susie,O,Xing,35,F,10096,high school,146015,unemployed
Alice,U,Xing,91,F,10025,college,117903,retired
Susie,H,Mellis,83,F,10194,high school,120616,retired
Alice,J,Fernandez,59,F,10016,below high school,45126,restaurant and hospitality
Juan,M,Suarez,26,M,10189,high school,207723,management
Natalia,P,Kim,62,F,10048,college,63928,food preparation
Mary,T,Michaels,51,F,10156,high school,217032,engineering
Xiaohan,J,Mellis,91,M,10086,high school,220885,retired
Xiaohan,C,Alberts,79,M,10084,postgrad,244650,retired
Hong,W,Mellis,34,F,10087,high school,200252,education
Abel,Y,Fernandez,44,M,10093,some college,74316,accounting
Xiaohan,E,Suarez,60,M,10166,below high school,145089,accounting
John,T,Suarez,53,M,10120,high school,244255,accounting
Abel,V,Roberts,55,M,10170,college,69999,transportation
Hong,F,Alberts,78,F,10065,some college,237933,retired
Juan,F,Michaels,66,M,10026,postgrad,220544,retired
Hong,Y,Xing,83,F,10097,postgrad,63926,retired
Natalia,G,Michaels,85,F,10185,some college,167806,retired
Abel,I,Xing,71,M,10197,high school,70209,retired
Abel,I,Fernandez,57,M,10186,college,146667,industrial
Xiaohan,U,Fernandez,69,M,10016,college,225987,retired
Juan,T,Suarez,68,M,10022,some college,104195,retired
Mark,I,Suarez,83,M,10070,some college,114579,retired
Maria,H,Fernandez,42,F,10037,postgrad,126084,education
Michael,L,Stevens,59,M,10175,below high school,120966,management
Michael,H,Suarez,94,M,10115,below high school,242735,retired
Alice,V,Alberts,95,F,10011,high school,107430,retired
Abel,A,Roberts,94,M,10104,high school,240384,retired
Alice,Y,Stevens,70,F,10115,college,174125,retired
Abel,W,Kim,75,M,10182,high school,198024,retired
Mark,G,Kim,23,M,10144,high school,133534,food preparation
Michael,E,Roberts,64,M,10145,high school,162086,food preparation
Natalia,F,Fernandez,73,F,10049,postgrad,142944,retired
Mary,B,Mellis,53,F,10152,college,89546,industrial
Mary,E,Roberts,64,F,10186,college,62390,unemployed
Hong,C,Fernandez,30,F,10144,high school,185497,management
Maria,T,Roberts,44,F,10004,below high school,100833,accounting
Juan,C,Mellis,45,M,10062,high school,156400,engineering
Maria,Z,Xing,50,F,10059,college,112081,unemployed
Mary,F,Roberts,93,F,10032,postgrad,142922,retired
Alice,V,Mellis,33,F,10199,some college,73265,cleaning
Susie,U,Xing,27,F,10167,some college,242217,management
Juan,Q,Suarez,52,M,10027,college,119212,education
Hong,V,Stevens,64,F,10121,college,203960,fitness/sports
John,H,Suarez,92,M,10187,postgrad,200342,retired
Abel,M,Stevens,36,M,10021,postgrad,129885,fitness/sports
Susie,Z,Michaels,54,F,10109,postgrad,175608,transportation
Alice,Z,Stevens,41,F,10199,college,150034,fitness/sports
Mary,X,Kim,81,F,10160,postgrad,153600,retired
Maria,Q,Xing,96,F,10032,below high school,67084,retired
Abel,E,Kim,84,M,10054,below high school,201317,retired
John,G,Stevens,39,M,10086,college,125117,other services
Mark,O,Suarez,63,M,10197,below high school,70020,engineering
Xiaohan,S,Kim,42,M,10118,postgrad,91443,restaurant and hospitality
Mary,H,Xing,80,F,10182,below high school,123052,retired
Michael,R,Kim,26,M,10066,postgrad,59138,unemployed
Natalia,S,Mellis,56,F,10154,some college,169516,industrial
Mark,P,Fernandez,32,M,10101,high school,158779,cleaning
Abel,X,Suarez,35,M,10050,some college,171649,cleaning
John,E,Kim,31,M,10107,postgrad,139751,food preparation
Abel,M,Michaels,32,M,10015,postgrad,84489,cleaning
Juan,X,Roberts,27,M,10084,some college,136663,accounting
Juan,O,Roberts,27,M,10004,some college,225529,management
Xiaohan,M,Kim,83,M,10046,below high school,150826,retired
Alice,B,Fernandez,59,F,10146,high school,215581,industrial
Hong,R,Alberts,63,F,10023,some college,68902,other
Michael,O,Suarez,80,M,10077,postgrad,98641,retired
Mary,G,Alberts,24,F,10132,below high school,73449,accounting
Natalia,F,Michaels,88,F,10184,college,95842,retired
Natalia,S,Xing,63,F,10010,some college,129939,food preparation
Xiaohan,Z,Alberts,77,M,10113,some college,68111,retired
Michael,Y,Kim,27,M,10013,postgrad,90028,transportation
Abel,X,Kim,30,M,10062,below high school,228341,other
Mark,L,Stevens,63,M,10117,college,202375,food preparation
Xiaohan,B,Alberts,46,M,10138,postgrad,154734,cleaning
Mary,S,Xing,27,F,10082,below high school,117688,transportation
Juan,W,Fernandez,44,M,10148,below high school,247308,management
Mary,K,Kim,43,F,10170,below high school,86178,industrial
Susie,X,Suarez,91,F,10198,college,182852,retired
Mary,R,Fernandez,54,F,10006,some college,174712,other services
Abel,G,Mellis,77,M,10014,some college,80280,retired
John,X,Michaels,59,M,10100,high school,249329,other services
Maria,P,Roberts,50,F,10033,below high school,110586,industrial
Natalia,M,Roberts,33,F,10069,postgrad,69133,management
Natalia,V,Roberts,88,F,10013,some college,228262,retired
John,H,Mellis,62,M,10179,high school,100772,management
Mark,O,Michaels,96,M,10106,postgrad,126247,retired
Susie,M,Xing,43,F,10090,some college,59556,management
Maria,C,Kim,93,F,10031,some college,75580,retired
Mark,B,Xing,89,M,10049,high school,87300,retired
Abel,Z,Suarez,32,M,10107,below high school,60798,transportation
Susie,Q,Roberts,38,F,10198,college,73347,engineering
Susie,W,Suarez,66,F,10035,some college,114907,retired
Michael,U,Mellis,79,M,10180,high school,134760,retired
Susie,H,Kim,73,F,10069,postgrad,180475,retired
Juan,F,Stevens,90,M,10152,below high school,73210,retired
Mark,H,Roberts,48,M,10154,some college,138294,other services
Xiaohan,L,Xing,48,M,10197,some college,113755,other services
John,Z,Xing,30,M,10097,college,124404,industrial
Maria,K,Roberts,33,F,10009,below high school,77636,other
Xiaohan,L,Mellis,56,M,10063,college,249234,education
Natalia,L,Mellis,74,F,10109,postgrad,123935,retired
Mary,X,Stevens,44,F,10154,high school,74861,cleaning
Alice,K,Fernandez,28,F,10166,postgrad,89669,fitness/sports
Michael,J,Suarez,23,M,10076,below high school,166318,unemployed
Mary,B,Mellis,25,F,10031,below high school,182889,food preparation
Maria,M,Alberts,38,F,10130,high school,111904,fitness/sports
John,W,Kim,44,M,10088,postgrad,63871,transportation
Abel,C,Suarez,71,M,10093,below high school,163861,retired
Xiaohan,U,Roberts,88,M,10100,some college,171539,retired
Natalia,N,Mellis,87,F,10197,some college,113200,retired
Xiaohan,D,Stevens,45,M,10167,postgrad,182291,cleaning
Xiaohan,R,Kim,45,M,10173,high school,95183,education
Natalia,B,Roberts,32,F,10112,high school,65810,other
Mark,Y,Fernandez,67,M,10161,high school,95776,retired
Alice,C,Mellis,69,F,10173,college,96281,retired
Susie,C,Fernandez,59,F,10112,some college,164133,industrial
Mark,U,Suarez,51,M,10074,below high school,171626,engineering
Michael,K,Michaels,55,M,10151,college,75466,education
Juan,U,Alberts,80,M,10158,postgrad,169738,retired
Maria,B,Kim,46,F,10062,postgrad,73785,education
Susie,L,Kim,39,F,10137,high school,103060,unemployed
Alice,M,Fernandez,41,F,10033,high school,118051,food preparation
Mary,W,Stevens,38,F,10007,some college,183893,industrial
Xiaohan,Y,Stevens,36,M,10079,postgrad,105028,accounting
Abel,Q,Mellis,83,M,10145,some college,246600,retired
Alice,O,Fernandez,32,F,10143,postgrad,208498,engineering
Susie,A,Stevens,27,F,10088,high school,239457,fitness/sports
Xiaohan,A,Roberts,81,M,10199,some college,188439,retired
Natalia,N,Roberts,49,F,10161,college,211491,accounting
Abel,W,Stevens,80,M,10106,below high school,179809,retired
Juan,S,Mellis,93,M,10193,below high school,177845,retired
Susie,G,Alberts,42,F,10172,college,218156,other
Michael,Q,Xing,95,M,10051,high school,109059,retired
Mark,Y,Alberts,33,M,10039,high school,117933,other
Alice,I,Stevens,29,F,10061,below high school,154249,education
Alice,C,Michaels,38,F,10098,postgrad,190331,industrial
Xiaohan,V,Stevens,39,M,10093,some college,190049,other services
Hong,P,Kim,49,F,10084,high school,134729,management
Hong,O,Stevens,37,F,10190,postgrad,167913,restaurant and hospitality
Juan,C,Alberts,81,M,10028,high school,243067,retired
Mark,A,Fernandez,45,M,10140,postgrad,100349,fitness/sports
Hong,R,Alberts,24,F,10007,postgrad,152566,restaurant and hospitality
John,Q,Suarez,68,M,10038,below high school,125362,retired
Maria,S,Xing,27,F,10074,below high school,155791,education
Xiaohan,O,Stevens,57,M,10101,high school,185233,engineering
Maria,Y,Kim,77,F,10106,below high school,99572,retired
Mary,A,Kim,42,F,10030,high school,211053,other services
Susie,X,Xing,53,F,10023,high school,51418,transportation
Michael,Q,Michaels,49,M,10138,college,136308,transportation
Abel,T,Mellis,85,M,10175,below high school,119343,retired
John,Y,Stevens,34,M,10001,high school,248017,management
Hong,G,Suarez,92,F,10019,postgrad,228630,retired
Michael,C,Stevens,70,M,10190,below high school,72081,retired
John,X,Suarez,51,M,10106,postgrad,147915,other
Susie,C,Alberts,86,F,10029,high school,77881,retired
Maria,V,Stevens,63,F,10130,postgrad,76446,engineering
Mary,O,Alberts,73,F,10100,high school,111195,retired
Mary,U,Xing,35,F,10164,some college,241595,food preparation
Xiaohan,Z,Suarez,80,M,10071,below high school,232523,retired
Hong,K,Mellis,67,F,10174,college,66299,retired
Natalia,T,Alberts,60,F,10082,college,161835,engineering
Natalia,R,Suarez,92,F,10023,some college,190949,retired
Hong,W,Alberts,60,F,10160,high school,152469,industrial
Mark,N,Xing,24,M,10022,college,156080,transportation
Maria,N,Kim,88,F,10101,postgrad,108722,retired
Susie,D,Kim,57,F,10096,college,172835,other services
John,E,Mellis,35,M,10015,high school,98169,industrial
Alice,B,Mellis,83,F,10015,below high school,195076,retired
Maria,I,Stevens,82,F,10106,some college,171114,retired
Alice,Z,Michaels,63,F,10090,some college,138352,transportation
Alice,A,Alberts,68,F,10064,postgrad,127904,retired
Alice,D,Alberts,91,F,10133,postgrad,72149,retired
Maria,H,Xing,34,F,10066,postgrad,235220,engineering
Natalia,U,Michaels,68,F,10031,below high school,80965,retired
Alice,H,Kim,48,F,10041,high school,136892,management
Abel,S,Fernandez,91,M,10032,college,121043,retired
Hong,V,Suarez,77,F,10106,high school,125752,retired
Susie,K,Stevens,95,F,10123,below high school,217509,retired
Natalia,V,Michaels,32,F,10008,high school,219542,engineering
Michael,L,Suarez,21,M,10085,high school,237616,other services
Alice,G,Kim,29,F,10139,high school,199167,management
Juan,E,Kim,56,M,10141,postgrad,132262,cleaning
Susie,W,Stevens,63,F,10162,postgrad,219000,food preparation
Mark,I,Kim,36,M,10164,high school,109960,other
Juan,A,Fernandez,38,M,10079,postgrad,95138,accounting
Abel,F,Alberts,79,M,10024,college,228026,retired
Mark,V,Stevens,68,M,10065,college,152950,retired
Abel,H,Xing,49,M,10036,postgrad,116195,transportation
Hong,Q,Kim,49,F,10036,postgrad,162803,cleaning
Mark,C,Mellis,91,M,10052,college,157855,retired
Natalia,O,Michaels,63,F,10165,below high school,236337,food preparation
Michael,J,Fernandez,44,M,10041,below high school,160818,other services
Juan,G,Alberts,37,M,10150,below high school,82593,restaurant and hospitality
Hong,C,Xing,59,F,10149,college,62598,fitness/sports
Alice,A,Michaels,61,F,10136,high school,67226,unemployed
John,K,Mellis,59,M,10161,some college,110402,industrial
Alice,U,Kim,38,F,10171,college,240835,engineering
Abel,A,Roberts,29,M,10191,college,100083,accounting
Alice,Q,Suarez,28,F,10172,high school,56269,cleaning
Susie,K,Michaels,63,F,10016,postgrad,159051,unemployed
Maria,G,Xing,28,F,10005,some college,112011,restaurant and hospitality
Natalia,O,Xing,91,F,10127,below high school,58401,retired
Natalia,V,Roberts,51,F,10112,some college,196737,accounting
Maria,P,Fernandez,77,F,10158,postgrad,144985,retired
Susie,I,Stevens,32,F,10176,college,51801,transportation
Alice,B,Alberts,37,F,10012,postgrad,112577,education
John,N,Mellis,32,M,10105,postgrad,142947,fitness/sports
Xiaohan,U,Michaels,47,M,10143,college,80270,unemployed
Susie,D,Kim,57,F,10088,college,204130,education
Michael,G,Kim,52,M,10058,below high school,147711,cleaning
Maria,H,Fernandez,45,F,10057,high school,232364,industrial
John,H,Michaels,25,M,10161,postgrad,191361,food preparation
Michael,W,Suarez,81,M,10174,some college,242092,retired
Maria,K,Kim,46,F,10099,high school,62242,other
Xiaohan,A,Alberts,44,M,10023,some college,106566,restaurant and hospitality
Juan,A,Alberts,53,M,10186,below high school,124971,other
Juan,Y,Stevens,79,M,10177,high school,65583,retired
Natalia,B,Kim,58,F,10108,some college,50112,transportation
Michael,Z,Mellis,92,M,10136,college,159019,retired
Alice,E,Stevens,91,F,10085,below high school,61256,retired
Alice,W,Mellis,74,F,10169,high school,223819,retired
Michael,A,Michaels,62,M,10195,high school,188657,other services
Natalia,K,Suarez,62,F,10113,postgrad,73165,unemployed
Maria,R,Mellis,95,F,10120,some college,65794,retired
Susie,U,Roberts,65,F,10064,postgrad,181537,accounting
Mary,I,Alberts,50,F,10091,high school,238413,accounting
Juan,W,Stevens,39,M,10089,college,48175,cleaning
Susie,Z,Michaels,76,F,10127,postgrad,61675,retired
Mary,C,Alberts,84,F,10016,below high school,139774,retired
Abel,B,Xing,97,M,10102,postgrad,185243,retired
John,S,Michaels,66,M,10008,below high school,85282,retired
Mary,P,Alberts,80,F,10130,high school,229135,retired
Michael,D,Suarez,97,M,10024,postgrad,194295,retired
Juan,E,Stevens,39,M,10087,some college,125170,other
Natalia,P,Fernandez,66,F,10144,college,119371,retired
Abel,B,Alberts,41,M,10096,below high school,99677,fitness/sports
Hong,M,Stevens,88,F,10054,below high school,177849,retired
Mark,A,Fernandez,28,M,10138,high school,134378,fitness/sports
Alice,U,Stevens,74,F,10040,postgrad,200029,retired
Michael,J,Mellis,27,M,10010,some college,228982,accounting
Mark,M,Stevens,61,M,10023,below high school,142292,restaurant and hospitality
Juan,C,Kim,65,M,10012,high school,149506,other
Juan,W,Suarez,84,M,10095,college,116996,retired
Natalia,G,Fernandez,66,F,10060,high school,162935,retired
John,Y,Mellis,53,M,10041,some college,169510,transportation
Xiaohan,V,Alberts,79,M,10138,postgrad,119260,retired
Hong,T,Suarez,36,F,10048,college,235186,food preparation
Michael,W,Kim,59,M,10174,college,156367,other services
Xiaohan,H,Kim,47,M,10142,below high school,155707,cleaning
Michael,D,Xing,24,M,10055,below high school,131994,other services
Abel,Z,Suarez,54,M,10013,below high school,136918,industrial
Maria,G,Alberts,96,F,10042,high school,114712,retired
John,G,Michaels,43,M,10034,high school,66154,accounting
Michael,E,Alberts,55,M,10128,some college,106912,transportation
Abel,C,Xing,68,M,10198,below high school,164412,retired
Alice,S,Stevens,22,F,10081,postgrad,113437,food preparation
Mary,M,Roberts,37,F,10058,postgrad,170886,food preparation
Alice,U,Stevens,73,F,10165,postgrad,233661,retired
Abel,J,Fernandez,74,M,10056,some college,202652,retired
Xiaohan,H,Roberts,33,M,10099,college,105331,management
Natalia,G,Michaels,53,F,10069,below high school,188835,accounting
Hong,B,Stevens,50,F,10020,high school,202448,other services
Mark,A,Mellis,22,M,10027,below high school,128695,education
John,Y,Alberts,86,M,10008,below high school,192756,retired
Natalia,I,Stevens,86,F,10081,college,212335,retired
Maria,X,Stevens,96,F,10150,some college,131525,retired
Mark,T,Xing,25,M,10083,postgrad,222117,education
Xiaohan,K,Mellis,22,M,10165,below high school,92423,management
Susie,K,Fernandez,90,F,10011,postgrad,147875,retired
Abel,R,Fernandez,95,M,10188,college,97633,retired
Maria,D,Alberts,79,F,10181,postgrad,90674,retired
Alice,J,Suarez,34,F,10187,below high school,65215,transportation
John,V,Xing,58,M,10195,some college,166895,restaurant and hospitality
Michael,E,Suarez,33,M,10136,some college,136612,restaurant and hospitality
John,B,Stevens,42,M,10068,high school,78250,industrial
Alice,O,Stevens,72,F,10135,postgrad,62528,retired
Juan,P,Xing,27,M,10137,below high school,219864,education
Alice,J,Michaels,37,F,10011,below high school,156164,cleaning
John,I,Alberts,39,M,10079,below high school,100867,restaurant and hospitality
Maria,M,Alberts,47,F,10073,high school,224163,management
Mary,W,Alberts,95,F,10094,postgrad,161033,retired
Juan,X,Alberts,24,M,10029,college,191424,management
Maria,E,Roberts,95,F,10052,college,70267,retired
Abel,O,Roberts,54,M,10177,postgrad,95078,restaurant and hospitality
Maria,E,Xing,38,F,10198,below high school,62334,other services
Mark,Y,Suarez,33,M,10119,below high school,150753,food preparation
Hong,H,Alberts,76,F,10062,some college,163005,retired
Natalia,R,Alberts,70,F,10177,some college,127308,retired
Juan,K,Mellis,84,M,10139,college,232804,retired
Xiaohan,R,Stevens,21,M,10008,college,104692,accounting
Susie,P,Mellis,76,F,10061,high school,148455,retired
Mary,C,Mellis,83,F,10160,postgrad,212037,retired
John,B,Xing,31,M,10114,college,227699,accounting
Alice,Y,Xing,30,F,10131,some college,87330,cleaning
Michael,Q,Stevens,51,M,10147,postgrad,111760,other
Alice,P,Fernandez,36,F,10200,high school,234864,management
Juan,Y,Michaels,80,M,10157,some college,195728,retired
Alice,D,Stevens,33,F,10199,some college,165582,cleaning
Abel,Y,Alberts,96,M,10066,postgrad,116520,retired
Alice,J,Stevens,31,F,10132,college,218175,other
Juan,Q,Roberts,33,M,10110,college,56175,cleaning
